hotel,fue_cancelada,tiempo_anticipacion_reserva_dias,anio_llegada,mes_llegada,semana_llegada,dia_llegada,noches_fin_semana,noches_semana,adultos,ninos,bebes,regimen_alimenticio,pais_origen_cliente,segmento_mercado,canal_reserva,es_huesped_recurrente_historico,total_cancelaciones_previas_cliente,total_reservas_previas_no_canceladas_cliente,tipo_habitacion_reservada,tipo_habitacion_asignada,cambios_en_reserva,agente,compania,dias_en_lista_espera,tipo_cliente_en_reserva,adr,espacios_estacionamiento_requeridos,total_solicitudes_especiales,estado_reserva,fecha_estado_reserva,nombre_completo,email,telefono,tipo_documento_identidad,numero_documento_identidad,fecha_nacimiento
Resort Hotel,0,342,2015,Julio,27,1,0,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,3,,,0,Transient,0.0,0,0,Salida,1/07/15,Nacio Melero Sarabia,anselmourrutia@example.com,+34 885 70 34 87,DNI,54456038,2001-02-19
Resort Hotel,0,737,2015,Julio,27,1,0,0,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,4,,,0,Transient,0.0,0,0,Salida,1/07/15,Nicolás Ismael Palomar Carretero,zcarballo@example.net,+34984 48 91 31,CE,710867443,2005-07-03
Resort Hotel,0,7,2015,Julio,27,1,0,1,1,0.0,0,BB,GBR,Direct,Direct,0,0,0,A,C,0,,,0,Transient,75.0,0,0,Salida,2/07/15,Anabel Mateos Carpio,,+34807 02 71 97,Pasaporte,P7554711,1995-09-09
Resort Hotel,0,13,2015,Julio,27,1,0,1,1,0.0,0,BB,GBR,Corporate,Corporate,0,0,0,A,A,0,304.0,,0,Transient,75.0,0,0,Salida,2/07/15,Octavia Ocaña Fuentes,,+34926 15 41 65,CE,785700279,1949-06-27
Resort Hotel,0,14,2015,Julio,27,1,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,240.0,,0,Transient,98.0,0,1,Salida,3/07/15,Ángela Roig González,carbajomagdalena@example.org,+34 954 341 661,DNI,36548247,1955-06-04
Resort Hotel,0,14,2015,Julio,27,1,0,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,240.0,,0,Transient,98.0,0,1,Salida,3/07/15,Martín Valverde Menendez,vilanovawalter@example.com,+34 902 94 59 30,Pasaporte,P2870143,1957-06-11
Resort Hotel,0,0,2015,Julio,27,1,0,2,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,C,C,0,,,0,Transient,107.0,0,0,Salida,3/07/15,Gisela Toro Iglesia,,+34 922262597,CE,647912769,1972-02-26
Resort Hotel,0,9,2015,Julio,27,1,0,2,2,0.0,0,FB,PRT,Direct,Direct,0,0,0,C,C,0,303.0,,0,Transient,103.0,0,1,Salida,3/07/15,Gerardo Perea Cabañas,,+34605 530 042,Pasaporte,P8698832,1951-12-06
Resort Hotel,1,85,2015,Julio,27,1,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,240.0,,0,Transient,82.0,0,1,Cancelada,6/05/15,Victor Pascual Velasco,juan-manuelarcos@example.com,+34848201598,CE,973580393,1953-03-20
Resort Hotel,1,75,2015,Julio,27,1,0,3,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,15.0,,0,Transient,105.5,0,0,Cancelada,22/04/15,Marianela Alegria Alonso,,+34 981689962,Pasaporte,P7448486,1991-05-29
Resort Hotel,1,23,2015,Julio,27,1,0,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,E,0,240.0,,0,Transient,123.0,0,0,Cancelada,23/06/15,Toribio Font Guillen,mireia55@example.com,+34978 33 48 89,DNI,87114525,1991-09-29
Resort Hotel,0,35,2015,Julio,27,1,0,4,2,0.0,0,HB,PRT,Online TA,TA/TO,0,0,0,D,D,0,240.0,,0,Transient,145.0,0,0,Salida,5/07/15,Edgardo Báez Juliá,,+34986 47 01 69,Pasaporte,P2266427,1992-04-05
